"","Anonym_Enfant","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Diderot_Jacques","Diderot_Neveu","Diderot_Religieuse","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Etourdi","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Sade_120","Sade_Aline","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Candide","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Princesse"
"Anonym_Enfant",0,0.874815328800508,1.05021069769088,0.94614549560158,1.07534827615481,1.16452917612227,1.25117745275758,1.094217532058,1.02134472266645,1.04559223480014,1.22053220937822,0.924022397669015,0.967091125151627,1.04904137696171,0.977247229337744,0.991788590681658,1.02088230801939,0.988373030687881,0.858287077262914,0.857739708625691,0.903728932366071,0.667854385191928,0.931602305653587,0.747495674033171,1.17090250889595,1.16928478932962,0.84159774445373,0.886650023220815,1.17201164168128,0.962799228024556,1.04557582073678,1.21665564039525,1.15839529099982,0.966688175166727,1.10296750750325,1.13443477581037,1.10636243689492,1.17880294243373,1.10136904798415,0.999905112240035
"Cazotte_Diable",0.874815328800508,0,0.713487393237586,0.655593567155844,1.00838867855517,1.09572293403392,1.12332396470768,1.08971666725367,1.06519907810905,1.04558639876814,1.04667117147456,0.911412776773154,1.08210124530632,0.997665310702047,1.00455066193618,0.936992942984295,1.05105333559146,0.95902014553419,0.915642436254484,0.969794527365167,1.00719771803159,0.863520812682227,1.12009527322005,1.05509665707979,1.03433928689719,1.0490476575843,0.977434327563851,1.12045734218232,0.995342157774664,0.93101695043682,0.940301568250797,1.06161426012997,1.06762904083101,1.16579833926613,1.13181805220442,1.21921404322334,1.16469394497395,1.11747542414856,1.13145202331907,1.11078461881678
"Cazotte_Honneur",1.05021069769088,0.713487393237586,0,0.645691646022361,1.08473059854369,1.0302134808941,1.10397460539304,1.19740415994898,1.06092617579677,1.04528336353269,1.04906143075245,1.02528197180815,0.991136628879577,0.913306686574349,0.974172535647714,0.880101738882457,0.928066397044695,1.00886075552251,0.936607826776885,1.01000179845728,0.987663726591339,1.10961316625913,1.10204419219048,1.12581975429273,1.00173071357492,1.03395017508138,1.10730146706432,1.10242612860422,0.976054259430214,1.01505243518914,0.983723807408801,0.957668780631055,1.06828016282178,1.15612570384576,1.10766954776413,1.15678847346543,1.05853827719292,1.10934250259352,1.13014890593347,1.09662252026043
"Cazotte_Ollivier",0.94614549560158,0.655593567155844,0.645691646022361,0,1.22312601215612,1.05423444628043,1.16656465758467,1.26032772377156,0.98996907745026,0.964926110017614,0.983474619796846,1.04901724407897,1.10990419268483,0.935935213402393,0.966639325522306,0.848202798664107,0.877295589041557,1.03288850388423,0.993254298707118,0.976422795768784,1.00755387027916,0.972907148380909,1.00035292045379,1.11922964206709,1.13753629439339,1.15170821579797,1.19883384944532,1.01851787926973,1.01978614039078,0.996248939908072,0.948642761823484,1.06831812531753,1.07710021281587,1.02429154150553,1.10748034528007,1.1406100295242,1.01756434968652,1.06848399655272,1.07288031157824,0.96964741181031
"Charriere_Caliste",1.07534827615481,1.00838867855517,1.08473059854369,1.22312601215612,0,0.825832266905981,0.706680135926234,0.727904723676551,0.904471507098391,1.11947698035057,1.08620249952062,0.879946931153473,0.911214333854842,1.03658707410377,1.04072090694125,1.06447248075705,1.1436048863778,1.01334362631416,0.971680659535948,0.90201757189668,0.965958823133324,1.05277350442871,1.1231915035226,1.07899074165739,1.00411567971966,0.936946713503806,0.763495334829523,1.15595777425758,1.05072075131079,1.02524965681375,1.15017099145806,1.19582032828329,1.10694070240984,1.12181390068804,1.06468607174637,1.11277682355877,1.09381966712775,1.12886735220109,1.11841545042776,1.11371254205324
"Charriere_Femmes",1.16452917612227,1.09572293403392,1.0302134808941,1.05423444628043,0.825832266905981,0,0.696426648541037,0.821148708408316,0.938632171201535,0.954550451802025,0.895326835878296,1.01417185496695,1.03822886307862,1.10132908434284,1.08417351998816,1.12655696620567,1.00385154007172,1.02875760103237,1.06483421360498,1.00770235191907,1.0324133944356,1.09105213271495,1.0561034534978,1.11909092275723,0.975533722989876,0.955072519239289,1.10852862256187,1.11743899551515,1.02409588790603,1.10070667949192,1.12870058303899,1.00285702852413,1.06629584181746,1.01166037883515,1.02404736886354,1.00302705956684,1.03584978766535,1.09159413990265,1.00387381648998,1.07390272453267
"Charriere_Lausanne",1.25117745275758,1.12332396470768,1.10397460539304,1.16656465758467,0.706680135926234,0.696426648541037,0,0.647589417275207,0.942832375335342,0.960080644193771,0.857068183800017,0.96891623983245,1.11470816269995,1.1603765306727,1.17947325146826,1.23940388958052,1.02911866966971,1.0831330696425,1.06062654454032,1.06525944313226,1.08920912194228,1.0981962506587,1.04443495800247,1.09920087490217,0.851243396651221,0.855671231633849,1.00760691311203,1.11389220469089,1.04762053299121,1.1686877184142,1.14174638865391,1.02035215139718,1.02184213393396,1.0844880974793,1.01730737746066,0.990652793595825,1.05272035082134,1.03280843909448,1.02101997859808,1.1070377371061
"Charriere_Neuchateloises",1.094217532058,1.08971666725367,1.19740415994898,1.26032772377156,0.727904723676551,0.821148708408316,0.647589417275207,0,1.00874833141041,0.965375619141973,0.949057767691607,0.918946442884871,1.08089252361097,1.13104824983852,1.09370262850163,1.1626765503771,1.01687918176002,0.986946267908591,1.09655960192631,1.08068605741437,1.0520966289718,1.05810643721964,1.11034558306062,1.02390888703375,0.824011506298495,0.802852165167182,0.927017965906745,1.11095969862483,1.12045002033508,1.13674018622949,1.19605073712031,1.12237611671283,0.945273766530296,1.06924689122865,1.01999185112518,1.05267384789465,1.07413669445127,1.07884052577269,1.06085720572024,1.1271125145763
"Charriere_Noble",1.02134472266645,1.06519907810905,1.06092617579677,0.98996907745026,0.904471507098391,0.938632171201535,0.942832375335342,1.00874833141041,0,1.10273539907913,1.07418890510455,1.00559862383054,1.01040432274526,1.04840257803652,1.05106217315424,1.06377686941269,1.11615179276548,1.05914711989661,0.966141023917594,0.999375304626579,1.0482418305452,1.01620655011025,0.96753999910313,1.02148095364436,1.09481112482687,1.07437506873052,0.925841630094223,1.04941779014887,1.1391122074682,1.12816600562014,1.15173863657278,1.17853333910866,1.10710593961863,1.01432406960423,1.05166058612625,1.11635611604996,0.916208705631417,1.09000434691642,1.02484229539392,0.951269124960965
"Diderot_Jacques",1.04559223480014,1.04558639876814,1.04528336353269,0.964926110017614,1.11947698035057,0.954550451802025,0.960080644193771,0.965375619141973,1.10273539907913,0,0.642821092890609,0.823089136371288,1.08787989483004,0.993871945418383,0.991279799652654,1.06712849739658,0.920891264653192,1.0692569987938,1.22468132972257,1.16136625548097,1.12496696108087,1.01110660610533,0.962141518785345,0.958234805177005,1.03792091151299,0.983295794198732,1.10336357381538,1.02758215856748,1.15715735817297,1.14826450096628,1.15039234118159,1.02391853598231,1.00645628763394,0.936573896232072,1.0738332659766,1.00373077365122,1.0091277236057,1.0249117257201,0.969964839452492,1.06136735259508
