"","Anonym_Enfant","Arnaud_Adelson","Arnaud_Anne","Arnaud_Bal","Arnaud_Batilde","Arnaud_Clary","Arnaud_Epoux","Arnaud_Fanny","Arnaud_Julie","Arnaud_Lucie","Arnaud_Matinees","Arnaud_Nancy","Arnaud_Sargines","Arnaud_Selicourt","Arnaud_Sidney","Arnaud_Zenothemis","Beaumont_Belle","Beaumont_Clarice","Beaumont_Prince","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Charriere_Observations","Charriere_Ruines","Charriere_Sainte","Crebillon_Atheniennes","Crebillon_Conte","Crebillon_Nuit","Diderot_Ceci","Diderot_Jacques","Diderot_Neveu","Diderot_Oiseau","Diderot_Pensees","Diderot_Religieuse","Diderot_Supplement","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Duvernet_Devotions","Duvernet_Guillaume","Duvernet_Retraite","Florian_Estelle","Florian_Galatee","Florian_Numa","Genlis_Adele","Genlis_Chevaliers","Genlis_Emigres","Genlis_Meres","Loaisel_Ainsi","Loaisel_Comtesse","Loaisel_Dolbreuse","Marmontel_Belisaire","Marmontel_Contes","Marmontel_Dejeunes","Marmontel_Incas","Mercier_An","Mercier_Jezennemours","Mercier_Songes","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Adele","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","PigaultLebrun_Metusko","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Retif_Vie","Riccoboni_Ernestine","Riccoboni_Histoire","Riccoboni_LettreJuliette","Riccoboni_LettresAdelaide","Riccoboni_LettresFanni","Riccoboni_MissJenny","Riccoboni_MylordRivers","Rousseau_Emile","Rousseau_Julie","Rousseau_Reine","Rousseau_Reveries","Sade_120","Sade_Aline","Sade_Crimes","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Bramin","Voltaire_Candide","Voltaire_Consoles","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Oreilles","Voltaire_Princesse","Voltaire_Scarmentado","Voltaire_Songe","Voltaire_Taureau"
"Anonym_Enfant",0,1.07799415403399,1.10662652076156,0.991919473731561,1.13587744718737,1.0965462107055,1.1237139186501,1.10187792131798,1.0945999523189,1.12470529901662,1.12711942750349,1.07935194786483,1.05831856115492,1.11916879561688,1.11742456605081,1.13466823829531,0.95876446607054,0.978214647656534,1.00169633985957,0.883628205801876,1.01144006621986,0.938596786165397,0.95740335481987,1.02145644574359,1.05241637927047,0.954105516553553,0.993910420863496,1.05249951552048,1.00659185471645,0.982934575114757,1.15238298904027,1.0500313619928,1.06386447422157,0.981177320573199,0.91909907883373,1.03576908147654,0.908328099833128,1.09475755023088,0.870751895648318,1.06120568344996,0.929914214559071,0.988652199350262,0.929923815589203,0.968078684278743,0.99098292271863,1.06514074794475,0.974011218298801,0.985489885130266,0.933627168725276,1.06816508486115,0.984502013200463,0.880907074412607,0.909204754027074,0.922509028354226,1.034166197463,1.03474849521149,1.03443103581854,1.15499330366651,1.10387866407017,0.92202655690995,1.11728215796677,1.06249761387839,0.98147786003379,1.04403870906708,0.881274568035597,0.915933760792149,0.81371249763333,0.87515573445232,0.955499584341422,0.701855165491672,0.901869513485777,1.02540815824071,0.696558710157759,1.01964732804431,1.02179409528226,0.84780549338045,0.971632954664628,1.02191006471965,1.02862638778438,1.08218304744645,1.08283017858375,1.1112761256719,0.99059548904533,1.09850824883675,1.14412042273594,1.11013501607841,1.01253568370243,1.03037154924893,0.808037570357412,0.997384657710187,1.06653011424819,0.896954131368842,0.912994172847668,1.03708632235189,1.01755595152945,1.04841498764114,0.93070270032391,1.01100481781071,1.03570394956629,1.01222144865446,1.01719236016574,1.04235155283732,0.973684549386338,1.02911757270145,0.975005808595517,0.961464433802711,1.03037716545603,0.984712507791159
"Arnaud_Adelson",1.07799415403399,0,0.741848498216057,0.903604312531347,0.764178874555819,0.802976683146752,0.645511194214405,0.746092498746302,0.817988875118435,0.73506974112235,0.723608351821739,0.766643585678508,0.832782713658206,0.699682165315962,0.774020190574362,0.755634358705149,1.05460043507706,1.07713021079378,1.03897802573169,0.994665453658317,0.9719828402657,0.943640518773283,1.09608623377631,1.13564060062488,1.13350246768147,1.16708044431358,1.0621793270318,1.10008487349025,1.07656778808627,1.12908072793563,1.03029882525746,1.09281899368448,1.06462725521934,1.05584784677703,1.11201528589289,1.11461763032133,1.11006082594392,1.05683407425622,1.05167083303843,1.08124118358441,1.00313643689449,0.925938897556868,1.0107495662067,0.87145551944152,1.12961711898956,1.08126900454864,1.09245023241932,0.938395977378038,0.963286377323742,0.913817112568189,1.07363567807063,0.942455720475666,1.11267545017945,1.05038834258687,0.994660278080378,0.808231722119656,0.925605611101482,1.02259572703145,1.02935819172138,1.04221375217468,0.910386082141983,1.03768647752118,0.906719949470224,0.943012199917268,1.09106973859548,1.05411776889564,1.06789648567676,1.08279851986316,1.07104297326931,1.10425661928966,1.14004808684873,0.918878022931211,1.11912611504344,1.06627308190301,1.08381224321483,1.05690903876046,1.15949333416563,0.980708656915391,0.993842507737396,0.956384669598433,0.974924320249923,0.975216809578428,0.952599886691176,0.997536327158172,1.12691148178454,1.02133398910624,1.11623843858889,1.0454479877646,1.10102836194405,1.04058258779261,0.910152049178404,1.02982069965373,1.00170715386537,1.05829314752449,1.08189465373166,1.06566305314881,1.1269300442317,1.08016712669544,1.0992513905629,1.13951734296404,1.07597247717923,1.10238179086811,1.11287764500848,1.11292223429774,1.1232995216881,1.10537772665592,1.10850138863868,1.10335733667917
"Arnaud_Anne",1.10662652076156,0.741848498216057,0,0.941098480238256,0.760712440266118,0.748196979569765,0.640682333456747,0.67235282036843,0.735853629623201,0.7070319060945,0.755047773888503,0.739163884057547,0.864123050442637,0.745801908079381,0.684931925134112,0.732177786893746,1.06228042721757,1.03690351216912,1.03263230048883,1.03222404024769,0.980458778735731,1.02745568230855,1.10942476720184,1.09727590109793,1.10626397580368,1.14585339611643,1.04947918448374,1.09261407956544,1.08476202591481,1.13386033514916,1.03327711568117,1.10758626182585,1.06475687674631,1.03235658682319,1.10816505173439,1.11142704974408,1.12386538582264,1.04424882577618,1.02982945236268,1.02421556266666,0.986021354398668,0.972194523955792,1.02920770425041,0.936662625631296,1.10941092534664,1.09033643845891,1.06742945045434,0.971125952250163,0.986147136080782,0.908080698791095,1.07017244245074,1.02958611708643,1.11792042076775,1.08031035418274,1.03030324743705,0.806616513929805,0.917507200231862,0.98865148506301,1.04128565941369,1.06211504641643,0.936227133952852,1.02919179310154,0.926768111336005,0.930962058207894,1.13482511910023,1.09048705238445,1.14302309534715,1.16218750817866,1.0467687915173,1.13456993733964,1.14830652662471,0.938090629761323,1.13323251098467,1.09077696952549,1.08643781040144,1.12059080321,1.07402470279293,0.975624173595708,0.989017483505698,0.976737795789506,1.01230022186165,0.985347603563431,0.944359960828803,1.02113534934734,1.07685817288599,1.00590204598185,1.06907711704449,1.09946367723404,1.13157120843328,1.04670880845485,0.967828743724329,1.03714549465356,1.00088380482281,1.01179979224444,1.08911149696724,1.06532796351756,1.14336497064926,1.06436896317445,1.06499037103196,1.12152191943353,1.09590940570451,1.08297904156878,1.11594478681741,1.11169204364521,1.14027898838904,1.09113453898955,1.0798805725217,1.08552870842823
"Arnaud_Bal",0.991919473731561,0.903604312531347,0.941098480238256,0,0.897678694267373,0.946357705766909,0.797390071869314,0.888091302470976,0.922284067603056,0.858864750726542,0.89837515348456,0.908198629626522,0.936294891949952,0.864280616371379,0.921174643891397,0.972357521337,1.00765732192159,1.08060474046538,1.04159523869152,1.05542002846816,1.00393004120392,1.0566743229759,1.06488465301084,1.03873765230914,1.07017214203767,1.05321785742001,1.02686088637228,1.00971259640233,1.05126147210989,1.05318711041244,0.972098370095897,0.940670659512552,0.953535752109597,1.01577821627882,1.00073911389047,1.03574158447846,0.989001565042553,1.07112964698459,1.09253279024739,1.04202750443428,0.979335797175068,1.02841912849767,1.03499922204593,1.03551979716657,1.03138388638852,1.05193801340877,1.03194936441207,1.00035841708979,1.02369886061624,1.03968151053063,1.03269948944578,1.01329648021016,1.09472035805747,1.04592824326538,0.99457340053297,0.987890892823227,0.973970384453641,1.06644049404335,0.867772624994533,1.03813780604076,1.03164984868712,1.11335887031,0.983197889875017,1.02634210104201,0.9853183982055,0.990169644724218,0.930647315298145,1.0063735394089,1.0187428642113,1.03877273618634,1.04091560407776,0.991811522046879,0.98739371650957,1.00646135001229,1.01913885342771,0.970973520185397,1.09231072805919,0.965221227356115,0.915106507511032,0.973920096879998,0.986613113520404,0.905493359002586,1.00721364689001,0.99424826777812,1.07128026486125,0.999178443453727,1.01933832694099,1.07742437919459,1.02443318502874,1.06830245856902,0.964874646507976,1.07202165569748,1.05514296988264,1.0260703295965,1.04788591222044,1.03823810148596,1.06611137158678,1.03394784267443,1.07321137313477,1.07790027126061,1.02139484928581,1.09468115180999,1.05859515316887,1.08518991904606,1.04609021481308,1.10575145126148,1.05543894144119,1.06676724039913
"Arnaud_Batilde",1.13587744718737,0.764178874555819,0.760712440266118,0.897678694267373,0,0.794358409072677,0.698826903381015,0.804696953883867,0.852606179853641,0.685592178779979,0.75947625398686,0.845395620444507,0.830315946421697,0.694163593141527,0.778275681709134,0.750734176154814,1.07720001862512,1.08715019881397,1.03901866352631,0.998657671683987,0.949631448430934,1.01360855198497,1.10418947715189,1.11178580512248,1.09900917383477,1.13637897798877,1.04964558323692,1.04593454586303,1.0877095904022,1.1347495130765,0.948010074545837,1.03173732696832,1.01456403921784,1.04572460324436,1.15452600896561,1.14195213923929,1.11610196758043,1.06878441385067,1.06021869981968,1.0654962673686,1.01672928242359,1.00164079232824,1.07994143268198,0.973242326861873,1.09097618482746,1.07874138654371,1.07183463599771,0.961703012016988,0.977354949633041,0.869751003595414,1.03254625610979,0.96098068664103,1.12073779590944,1.03729206522272,0.969800457343599,0.881554959362809,0.951766601843035,0.938552837167492,0.93373869236577,1.03616564646357,0.917391499695809,1.0211695457597,0.923940334789381,0.946772658589131,1.14603213013871,1.08315925020342,1.13032285752832,1.15731953299312,1.08525921416158,1.15728581725385,1.16649749976866,0.93285177043457,1.15148494331231,1.06954298478023,1.08760253905962,1.10257024733201,1.11534942327018,0.948700641613835,0.959847872331301,0.928078455843985,0.929743971497392,0.916574182052425,0.901732640965189,0.963295091470665,1.09437271414566,0.973475072281448,1.06276593073035,1.08940169927945,1.16320837682335,1.06652695067767,0.981067786237664,1.10999174137561,1.07022466987214,1.05598617841705,1.08625883842795,1.05612340846589,1.15976257562883,1.06629061724601,1.06992582738703,1.1390540589668,1.12774120683772,1.11251396094431,1.13089711340916,1.10463660577748,1.11891237143718,1.06995009011624,1.08521819833866,1.04538224469693
"Arnaud_Clary",1.0965462107055,0.802976683146752,0.748196979569765,0.946357705766909,0.794358409072677,0,0.68197710389175,0.727796870879199,0.726708018284888,0.794212745749058,0.798211183244268,0.802148207769873,0.919719690146414,0.793215004545734,0.750050451751052,0.821495649643074,1.06838180629983,1.01660038948893,1.10039121067561,1.00190067364224,0.989255551463773,1.02823787605418,1.06208212102462,1.09845182877239,1.1054232660822,1.08021654868345,1.05642662971292,1.09569676671077,1.06479331686845,1.11603084106426,1.04615900192809,1.13167058462213,1.06207387794863,1.03807464578066,1.11058516742527,1.09790247641762,1.10567611243276,1.062481740943,1.02908332897945,1.04235577601793,0.983622786777604,0.992433588661988,1.01895723867114,0.949128621065902,1.10784594786842,1.0976687237359,1.0728732400819,0.975009589315813,0.968054585790887,0.939479506513783,1.01669563069191,0.986919006176584,1.06151442578505,1.01994605993959,0.982030593887848,0.918904176084199,0.891119319394714,0.988683937849441,0.976428823578487,1.0257805258304,0.969658283970691,1.02565841003439,0.932980779269175,0.951131842763668,1.11481565992137,1.04602391854444,1.08021291698622,1.09900103731802,1.08389190791716,1.07256314676268,1.14658713100419,0.984017051371936,1.10186198123193,1.01745934873749,1.0253755612385,1.03767459167602,1.05943609694813,0.963242784633856,1.00244626188187,0.968640208039784,0.987106683867734,0.941108163385403,0.922489570263618,0.982623753781169,1.06619890199342,0.954079826057224,1.11278649161136,1.043769519263,1.13558787596605,1.04245147165697,0.968847473581536,1.02547016970481,1.02370293382428,1.0453739490948,1.08034014190912,1.06041332014439,1.1180909567168,1.07921620763195,1.06502954781332,1.12202294133523,1.08121400335374,1.08578283772362,1.10722857231435,1.07447677105349,1.13033404838265,1.08677680881111,1.0688493996993,1.1104833763657
"Arnaud_Epoux",1.1237139186501,0.645511194214405,0.640682333456747,0.797390071869314,0.698826903381015,0.68197710389175,0,0.729322406133496,0.780535994126975,0.633795856232418,0.630470442069504,0.745633873719707,0.865618389853682,0.634796936209235,0.656451748755688,0.718656197022109,1.11352397236904,1.02920593331733,1.09546473482008,1.00531321850348,0.99179102268552,1.07401044646294,1.06992396477236,1.12027628424087,1.1174530943166,1.1213126915372,1.10750739329231,1.09521963429759,1.09308052909497,1.16968518802805,0.927642625574525,1.04537827635249,0.988626949293045,1.06245243898427,1.15744357684237,1.14459841936704,1.16042236235581,1.0408861518584,1.05472745984082,1.07132765314091,0.980079938595951,0.967433009702109,1.03291954210475,0.915397293193889,1.15981779248021,1.12667361783457,1.14820379889192,1.00969254287636,1.00715431194381,0.960547077016943,1.05140498221172,0.985377920456136,1.11371733379037,1.03889824934535,0.972286144698326,0.839285835489119,0.890043576119953,1.00183233075848,0.97980303170418,1.03511734398486,0.957312746057086,1.08141736691394,0.887448947428486,0.951933082424983,1.12565675018945,1.03664430076066,1.07422178992021,1.11437776856399,1.11313286837308,1.14139594785779,1.19924288686428,0.98502496120533,1.13999337030191,1.01653790622042,1.06302074057143,1.03025943475218,1.1574181761927,0.963884062707181,0.973035449697926,0.904770382909026,0.931286169641649,0.872903146858559,0.91875937513528,0.963327706487241,1.09759461649686,0.918836522557032,1.13250837219268,1.00575948336151,1.1846287087438,1.01203393622531,0.89916344376437,1.02907122263532,1.01246731591453,1.02001534524668,1.07213019039149,1.05519437633979,1.19365104543356,1.11042815539128,1.09818028683399,1.16132132421019,1.11481144461901,1.13472657663105,1.14095737017536,1.12458959729846,1.21074229514555,1.11853093485113,1.12669275165519,1.14631429414592
"Arnaud_Fanny",1.10187792131798,0.746092498746302,0.67235282036843,0.888091302470976,0.804696953883867,0.727796870879199,0.729322406133496,0,0.798500474343646,0.784595400452259,0.786252215549312,0.777056704416515,0.867461506425636,0.815325997575665,0.756366488621952,0.799892888229203,1.04909737708706,1.06803232151136,1.04010855816198,1.06273365733326,1.00005671236483,1.01739338772311,1.09592313589304,1.12384765779274,1.12329475542685,1.13804857111223,1.02885479975226,1.07222854925279,1.05935950190681,1.10476574108869,1.10191646159548,1.12229659785738,1.08622666893692,1.0287535968654,1.05234702005279,1.05668650655161,1.11817305715109,1.07383783616646,1.08840523680725,1.01366073993328,1.00441935297462,0.966071488416913,0.988150755488776,0.944262972543547,1.04781562499441,1.05277638840883,1.04941354099621,0.975885880361546,0.993820704874053,0.90970293218396,1.09284170211078,1.0330028213336,1.09182878784372,1.06800727963578,1.02702935060852,0.86800259080915,0.917904830628819,0.993494501163313,0.98302896788454,1.04489619784864,0.93498504307158,1.04460289929994,0.97693650685056,0.94728457717767,1.07962774337667,1.07607530126748,1.10889876564687,1.10802488523411,1.03313735172106,1.13182740626445,1.1188772690399,0.95580234675855,1.06823358564661,1.03904681665224,1.04656236721462,1.09514075873788,1.04667959743398,1.01496215802022,1.03135060669517,1.03054293305543,1.03113798124855,1.00532231165091,1.00722299060655,1.03031248530244,1.1039915010152,1.04363680973239,1.05407924286364,1.13210913949303,1.09755016442112,1.059484997364,0.937880631304235,1.04161688447675,1.02212657159001,1.01935576438807,1.06244746219683,1.0395218781101,1.09350274148938,1.0542942086971,1.07906383803634,1.09401322916518,1.02140336993649,1.05725341002695,1.11206235663292,1.06770002089491,1.04938278381163,1.07030039796409,1.06475876790701,1.07278536425958
"Arnaud_Julie",1.0945999523189,0.817988875118435,0.735853629623201,0.922284067603056,0.852606179853641,0.726708018284888,0.780535994126975,0.798500474343646,0,0.821851822867415,0.811185195183899,0.766606596479214,0.864722324262275,0.826979438284469,0.793596260564173,0.789514538825987,1.06593246460208,1.04466240598651,1.04303473583863,1.05146263948693,1.01930545881159,1.04797404315247,1.10051430265023,1.08125856967022,1.0849815092911,1.14544843840187,1.02671565333982,1.05632999299667,1.08445582203707,1.11035876137339,1.02433784322719,1.06512251015945,1.06779939738907,1.03908398082727,1.14244190403165,1.0706825367055,1.07608199446612,1.03414409781171,1.08515294129075,1.05363893958303,1.00146737861869,1.03691547579687,1.0725199247462,1.01776623681923,1.0779139059629,1.07114554820056,1.03305294969592,1.05536623949221,1.07749015935566,1.01930826406228,0.998055505593328,1.02410528340401,1.09828372230311,1.02198341563755,0.977129123505123,0.89527115110473,0.839845309164,0.966618808551514,0.941946572560969,1.061838437501,0.993269072570494,0.95242664330325,0.959254838544745,0.930523749025008,1.09782351921791,1.0532074077606,1.07126124959735,1.0724343400768,1.01976978411003,1.12670754139752,1.0821064701034,0.972545869841123,1.15770721294778,1.03082790376756,1.05044840250229,1.07415262090455,1.0223808772308,0.939219012710948,0.948113893619547,0.969327188580477,0.986393753555286,1.00943310710771,0.97472735461494,0.988123365119432,0.992641577916662,0.967804811998783,1.03563425073367,1.01416751721143,1.10450149353463,1.05590640935025,0.975167661850468,1.04498707679107,1.04945626588486,1.01829741882881,1.08197152101941,1.06267339992106,1.11866768476797,1.05727258439862,1.04524256594509,1.09521259045681,1.06090100791379,1.08600836536623,1.08792680198174,1.07760883717611,1.08296177360419,1.08583316241408,1.04446363777993,1.08465388361732
"Arnaud_Lucie",1.12470529901662,0.73506974112235,0.7070319060945,0.858864750726542,0.685592178779979,0.794212745749058,0.633795856232418,0.784595400452259,0.821851822867415,0,0.71758881500001,0.796045640278708,0.886041391559489,0.623187843364443,0.793595640109866,0.763802554400249,1.05007326123069,1.11605785567447,1.07002490801974,1.03728577520814,1.00926835764279,1.08415282737277,1.09743317477975,1.11872309384771,1.11779487199583,1.11628333584124,1.04214886145146,1.06885428911503,1.08791457482551,1.10836281495796,0.980165576981197,1.05110313610921,1.01188874899175,1.03569055436241,1.14067043464945,1.15562799744566,1.1319661486635,1.05609791237328,1.04841440017803,1.10139677160637,0.978224339781202,0.983271938516955,1.06733039497266,0.955857870220596,1.09261340978418,1.10633252276003,1.05152213204823,0.978674497838633,0.987696159013894,0.92813140140834,1.06276681320398,0.978530251056342,1.13892860082399,1.04719194017848,0.990913752349879,0.830851021489411,0.926141597792307,1.04115755855719,0.971854851549719,1.04146890411859,0.949048680306593,1.08826553774611,0.944793872021092,0.991947793679081,1.11240414111871,1.08844560074119,1.11129539626973,1.14143195383359,1.0490996573491,1.15781740437408,1.14706738361721,0.934381341490484,1.10843604623228,1.0744698511679,1.06976067267822,1.05842291550251,1.12733516440812,0.958694998864372,0.929361242730492,0.926687215041909,0.915304560358098,0.910883083162478,0.903819571193119,0.981837151917557,1.13919612547478,1.01933296186571,1.07042723508844,1.08413161807679,1.13821501556276,1.05050502543609,0.943711114080383,1.06236913134223,1.04695093456411,1.04745527735727,1.08565585521394,1.03936886456411,1.18506680128065,1.04000723418449,1.07175927345665,1.1623713846907,1.08637786197959,1.12168834558675,1.12303714181603,1.11211604329217,1.14552761450847,1.09706299917615,1.07054831013408,1.09040720703447
