"","Anonym_Enfant","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Diderot_Jacques","Diderot_Neveu","Diderot_Religieuse","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Etourdi","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Sade_120","Sade_Aline","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Candide","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Princesse"
"Anonym_Enfant",0,0.930639221125415,1.06322396956368,0.996395812906895,1.0644984384988,1.1470586593001,1.20886878608988,1.06651423111275,1.05362711817662,1.06595870195599,1.21319872662299,0.93995617221754,0.970723501074175,1.04032610360458,0.999500680071968,1.00128689403947,1.00758632667872,0.977103869911526,0.862358631684168,0.864600205046709,0.928102870671784,0.737076263838918,0.934253150177978,0.763786951818028,1.14509293128096,1.16143373771814,0.887344189569906,0.89545586417138,1.1208069825728,0.980793428693392,1.02487969960948,1.17092667954352,1.13217447609654,1.01375851017987,1.09308812031565,1.13349163572957,1.11009016707022,1.13515607599226,1.07772216946274,1.01348850809536
"Cazotte_Diable",0.930639221125415,0,0.76675959536724,0.703617306156883,1.00572845255757,1.06654942881419,1.10039007300625,1.07483886526569,1.07513185033196,1.04103526747053,1.04864060444988,0.923002874786019,1.06785264936422,0.987216726640097,0.991205169283837,0.936897842613598,1.02686081449634,0.958093656705573,0.917959924654765,0.959302714480407,1.00840474082781,0.924325225153959,1.11805793124347,1.07279690898106,0.999096630337152,1.035724684686,0.983179538063382,1.10377475848391,0.982797725340516,0.95890956010065,0.964267840581213,1.03871172734136,1.05994305403386,1.15451561460727,1.15583335395372,1.1994658562697,1.14523872066721,1.12789472927729,1.1380162963884,1.08999445903515
"Cazotte_Honneur",1.06322396956368,0.76675959536724,0,0.69039418385368,1.09340318014907,1.0122180350181,1.07677270032188,1.17702294462658,1.04182858770369,1.04966934740836,1.04389936859606,1.04667439712979,0.983195479996467,0.92608274797326,0.993426915345953,0.898957417215315,0.9323209560051,0.991730992094217,0.955969308429537,1.00170502342297,0.983782001725219,1.11030325367793,1.08887488783267,1.14619906605945,0.995158423479648,1.03951435450172,1.10248154426387,1.1085899985107,0.991750853010848,1.00719402013824,0.990031279105949,0.96531137373221,1.07097996565285,1.1456670296896,1.1003718283838,1.13422193191559,1.06776200167334,1.11887368731616,1.12049008425888,1.09034573992631
"Cazotte_Ollivier",0.996395812906895,0.703617306156883,0.69039418385368,0,1.20944938492805,1.04696212243592,1.17067880410141,1.23682155392242,1.02666905823207,0.978415767370403,0.969893222946776,1.03263659734898,1.09106944009162,0.911522552365753,0.946790020456775,0.792473327679488,0.90399488881567,1.03377363247162,0.993755531250243,0.990008575310407,0.992463491913369,0.978960476923346,1.0049385798449,1.12469520037993,1.11571937468254,1.14043500972763,1.17601570011378,1.0357835009701,1.01805427799551,0.991124582573996,0.943862381804711,1.06699949377044,1.05281956672176,1.0316754396273,1.11696322458719,1.12470937135932,1.0499080454787,1.09111060311971,1.08881816977603,0.95649554175456
"Charriere_Caliste",1.0644984384988,1.00572845255757,1.09340318014907,1.20944938492805,0,0.829547154302655,0.711305173567526,0.732144211359285,0.905367621415157,1.0970566205456,1.08131837050853,0.881158224217192,0.958369812207765,1.0621606212886,1.07555236127326,1.09036416878823,1.15440180071359,1.0176946876574,0.931555528806855,0.924740064055047,0.997949353313092,1.05885329359938,1.10503843576606,1.06144726746909,1.00021772483881,0.941550862857241,0.767929406631864,1.14005998756119,1.0532552421444,1.03699945930617,1.15175632316481,1.17765097324235,1.10654114978887,1.09632537002215,1.05693323879141,1.08936056190172,1.05330823350579,1.10439775702347,1.10078150540508,1.11032504222599
"Charriere_Femmes",1.1470586593001,1.06654942881419,1.0122180350181,1.04696212243592,0.829547154302655,0,0.730852764064341,0.862502629657645,0.959046648072269,0.951803204468899,0.930093591527203,1.02289455002242,1.0245252373067,1.07557100680714,1.06047562835607,1.10453187036202,0.98279366163608,1.06748899432105,1.05524614354735,1.02667625422229,1.03897862758739,1.07622648536553,1.06416929099071,1.12451438465738,0.979253674699239,0.972675417357948,1.10034426692224,1.08035050436438,1.02367843238121,1.0989458704408,1.09227464734409,0.992064255486954,1.06316606560605,1.0094213391074,1.0389035561707,1.00356672015723,1.02576212106812,1.08316285707368,1.02110928812429,1.05374811982006
"Charriere_Lausanne",1.20886878608988,1.10039007300625,1.07677270032188,1.17067880410141,0.711305173567526,0.730852764064341,0,0.681986730523417,0.948156495460135,0.961280648148084,0.893737861155227,0.982334494164627,1.11601013775523,1.16742700694555,1.17998452075987,1.22799042043371,1.02134551731184,1.09146349131543,1.04476323559661,1.07265868925522,1.08207940896345,1.11369117103993,1.01856633798126,1.08026093096893,0.878956745955496,0.858861216478082,1.00139884454997,1.10606275067891,1.06839900858877,1.16887234122252,1.15210859957992,1.0188953791014,1.0338253901116,1.04772205496759,0.996184461406204,0.994787446591459,1.04006243058364,1.03423722377672,1.0140782357723,1.08928384814821
"Charriere_Neuchateloises",1.06651423111275,1.07483886526569,1.17702294462658,1.23682155392242,0.732144211359285,0.862502629657645,0.681986730523417,0,1.00527150336751,0.964019320289671,0.96105346196335,0.92177525700428,1.09215350540332,1.14689151347022,1.08718337776513,1.18143216924145,1.01510530988264,1.01626379058669,1.08974064383874,1.05618731619145,1.04806745664493,1.0460972929038,1.07541906151962,1.01672506179559,0.848945150706366,0.826078154666911,0.934466719250853,1.09712368838206,1.11757621573508,1.10658401006483,1.17247506921401,1.1206127063879,0.973053227896503,1.05061546666412,1.02857613339817,1.04588227387253,1.06090226504958,1.04654443267472,1.0519566291898,1.1101773661939
"Charriere_Noble",1.05362711817662,1.07513185033196,1.04182858770369,1.02666905823207,0.905367621415157,0.959046648072269,0.948156495460135,1.00527150336751,0,1.09186292669082,1.07803703018382,1.03369146245335,1.00595778354105,1.03749419325216,1.05144722828711,1.06770656627868,1.11799201428899,1.0553036253997,0.975871664594664,1.01239577875366,1.06467247564608,1.01788479883864,0.966054531485847,1.01475668404332,1.08461431674667,1.07556947465728,0.960048362878942,1.07338636250428,1.1170847884575,1.09587816173175,1.14217448112228,1.14672699843773,1.10310309462199,1.02683902848212,1.01662496553135,1.08185244676598,0.908273833458749,1.06973580403442,1.01618843387159,0.995004604727405
"Diderot_Jacques",1.06595870195599,1.04103526747053,1.04966934740836,0.978415767370403,1.0970566205456,0.951803204468899,0.961280648148084,0.964019320289671,1.09186292669082,0,0.656076709502078,0.823650792289519,1.08967049853884,1.0151057693722,1.00202970052513,1.07677911469142,0.926405251908126,1.06456641353462,1.21771179725474,1.14280545495608,1.11492338641244,0.98853868674871,0.961626220270758,0.940065642614558,1.04211530113914,0.986065314217532,1.10274789219436,1.04141349649928,1.18063913305976,1.15963119090167,1.16084505157871,1.04566795138474,0.986597365009004,0.889053980137481,1.06194061433001,1.00166651124256,0.999869921287828,1.03201384290662,0.967187494646589,1.0509090705066
